NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Summit County, Ohio",541013,541918,541228,540300,541968,541943,541824,540811,539832,541565,542405,542562,543487,545931,536957,155800,151900,143500,141900,139200,129300,134700,127000,134200,141700,140100,144100,145100,142800,138100
"Wood County, West Virginia",83518,84203,85104,85643,86452,86237,86569,86701,87120,86990,86888,86204,86088,86597,85634,130800,128500,130700,121500,110600,105600,105500,103900,107900,100700,105000,101300,101500,97200,89700
"Caddo Parish, Louisiana",240204,242922,246581,248851,251460,252603,254887,257093,257051,255543,253623,252895,252609,253118,244819,155300,143300,149000,151500,144600,123600,118500,124900,126400,120700,124200,117400,107300,94900,91800
"Greene County, Ohio",168937,167995,166752,164765,164427,163820,163204,163587,162846,161605,159823,159190,154656,152298,143218,190100,183800,170900,168500,160000,159000,157500,158000,158900,155200,156600,162000,165800,158700,150200
"Midland County, Michigan",83156,83209,83411,83462,83632,83427,83919,83822,84063,83592,82548,82605,82818,83792,82695,152300,146200,140200,132400,138500,126200,125700,128200,134000,126700,126700,128200,139400,137200,131700
"Berks County, Pennsylvania",421164,420152,417854,414812,415271,413691,413521,413491,412778,411850,407125,403595,401955,401149,382917,188100,186000,173700,174800,171100,168600,166900,166500,168300,175700,176300,184500,173100,149700,138400
"Erie County, Pennsylvania",269728,272061,274541,276207,278045,278443,280294,280646,280985,280686,280291,279175,279092,279811,266662,143600,143700,138700,125700,121800,124400,116100,115200,114600,117500,111800,112500,107600,102400,96700
"Walworth County, Wisconsin",103868,103718,103082,102959,102804,103527,102945,102851,102931,102205,100593,100749,100800,101007,96394,222100,205000,203500,195700,188700,193300,185700,181100,194800,205300,207400,209600,188300,197500,171000
"Stearns County, Minnesota",161075,159256,157822,155652,154708,152912,152092,151606,151343,150785,148955,147076,146051,144096,135253,203000,193900,178300,174300,171600,166200,163900,163700,166100,172200,170100,172600,185500,176400,165700
"Dauphin County, Pennsylvania",278299,277097,275710,273707,272983,271453,270937,269665,268977,268220,258934,256562,255710,254176,247379,169500,171000,173600,167500,158500,158100,160300,158600,159100,160600,157900,160200,148700,136200,129200
"Bristol County, Massachusetts",565217,564022,561483,558324,556772,554194,552780,551082,548922,548612,547433,545823,543024,545379,533310,329200,317500,301800,290900,275000,274500,267300,269100,280300,283600,287200,319800,320900,329900,321000
"Wilson County, North Carolina",81801,81455,81671,81661,81714,81401,81667,81867,81452,81359,78353,77527,76754,76624,74480,138200,121800,123300,121100,116500,124300,113900,110500,115200,113100,110800,111600,110900,98100,104500
